Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
1,222,CONNECT,PUBLIC,Users,,Users,EMPTY,EMPTY,2515,7,11,31.509,7,11,31.782
2,222,LIST_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,2506,7,11,31.876,7,11,32.287
3,222,LIST_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,21958,7,11,32.818,7,11,33.181
4,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,26360,7,12,15.835,7,12,16.236
5,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,16428,7,12,21.248,7,12,21.44
6,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,EMPTY,EMPTY,10194,7,12,22.88,7,12,23.102
7,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,11044,7,12,26.545,7,12,27.348
8,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,12231,7,12,40.038,7,12,40.268
9,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,7263,7,12,41.281,7,12,42.516
10,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,25957,7,12,53.749,7,13,6.209
11,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,62083,7,13,29.5,7,13,30.268
12,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,54380,7,13,35.497,7,13,35.994
13,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,portal.html,.html,11825,7,13,51.732,7,13,51.761
14,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,portal.html,.html,2422,7,13,52.18,7,13,52.199
15,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,13905,7,13,57.885,7,13,57.899
16,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2157,7,13,57.9,7,13,57.912
17,222,CHANGE_DIR,PUBLIC,EMPTY,,EMPTY,EMPTY,EMPTY,34006,7,14,38.777,7,14,39.215
18,222,LIST_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,23615,7,14,41.578,7,14,45.341
1,222,LIST_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,26595,8,41,30.267,8,41,30.975
2,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,29710,8,41,38.702,8,41,38.736
